相关度,题目,主要匹配内容,URL,日期
0.29417420270727607,Out of the mists of time,"['china', 'new', 'time']","https://epaper.chinadaily.com.cn/a/202306/10/WS6483cdeaa3106e73106c4557.html
",2023-06-10 00:00
0.2651650429449553,Countryside areas transformed over past 20 years,"['china', 'come', 'time']","https://epaper.chinadaily.com.cn/a/202306/09/WS64824972a3106e73106c44aa.html
",2023-06-09 00:00
0.26111648393354675,Time for new memories,"['china', 'new', 'time']","https://epaper.chinadaily.com.cn/a/202306/10/WS6483cdcca3106e73106c4555.html
",2023-06-10 00:00
0.253546276418555,Building a modern civilization by carrying forward traditions,"['china', 'new', 'time']","https://epaper.chinadaily.com.cn/a/202306/09/WS64824b23a3106e73106c44c3.html
",2023-06-09 00:00
0.2407717061715384,AI chatbots take on ,"['china', 'come', 'new', 'time']","https://www.chinadaily.com.cn/a/202306/09/WS64827873a31033ad3f7bb4e3.html
",2023-06-09 09:26
0.23570226039551587,Unmanned machines boost China's rice production,"['china', 'time']","https://www.chinadaily.com.cn/a/202306/09/WS64828e39a31033ad3f7bb634.html
",2023-06-09 10:59
0.2342606428329091,Existence of massive first-generation stars with 260 solar masses confirmed,"['china', 'new', 'time']","https://epaper.chinadaily.com.cn/a/202306/09/WS64824e82a3106e73106c44f3.html
",2023-06-09 00:00
0.22941573387056174,Welder recognized for dedication,"['china', 'time']","https://epaper.chinadaily.com.cn/a/202306/09/WS64824adea3106e73106c44c0.html
",2023-06-09 00:00
0.22613350843332272,Ancient street reveals Tianjin's history and culture,"['china', 'new', 'time']","https://www.chinadaily.com.cn/a/202306/09/WS648282b9a31033ad3f7bb595.html
",2023-06-09 10:10
0.21320071635561041,How China works  Enhancing quality of life with robotics,"['china', 'new']","https://www.chinadaily.com.cn/a/202306/10/WS6483a2d7a31033ad3f7bb77d.html
",2023-06-10 06:40
0.211999576001272,A journey through history,"['china', 'come', 'new', 'time']","https://epaper.chinadaily.com.cn/a/202306/09/WS6482516aa3106e73106c4519.html
",2023-06-09 00:00
0.20851441405707477,China's NEV sales surge 60 2% in May,"['china', 'new']","https://www.chinadaily.com.cn/a/202306/09/WS6482d3d5a31033ad3f7bb6cc.html
",2023-06-09 15:56
0.20801257358446093,Six decades of service marked by luxury hotel,"['china', 'new', 'time']","https://epaper.chinadaily.com.cn/a/202306/10/WS6483cd13a3106e73106c4548.html
",2023-06-10 00:00
0.20604084592303354,Big names descend on Shanghai for cinematic celebration,"['china', 'come', 'new']","https://www.chinadaily.com.cn/a/202306/09/WS64833ec5a31033ad3f7bb76b.html
",2023-06-09 23:33
0.20412414523193154,A family of forest rangers makes a difference,"['china', 'time']","https://www.chinadaily.com.cn/a/202306/09/WS64828378a31033ad3f7bb5a2.html
",2023-06-09 10:13
0.2041241452319315,Series turns spotlight on undersea stars,"['china', 'new', 'time']","https://www.chinadaily.com.cn/a/202306/09/WS6482e338a31033ad3f7bb70e.html
",2023-06-09 11:30
0.2,Beijing book fair to welcome back global publishers,"['come', 'new']","https://epaper.chinadaily.com.cn/a/202306/10/WS6483cdcda3106e73106c4556.html
",2023-06-10 00:00
0.2,Draft guideline against online bullying seeks public feedback,"['china', 'new']","https://epaper.chinadaily.com.cn/a/202306/10/WS6483cbe5a3106e73106c453b.html
",2023-06-10 00:00
0.19900743804199783,China's pet economy shows huge growth potential,"['china', 'come', 'new', 'time']","https://www.chinadaily.com.cn/a/202306/09/WS648286e6a31033ad3f7bb5ba.html
",2023-06-09 10:28
0.19245008972987526,Elderly farmer goes to college and beyond,"['new', 'time']","https://www.chinadaily.com.cn/a/202306/09/WS648294bfa31033ad3f7bb654.html
",2023-06-09 11:27
0.1860521018838127,JINGART fair brings together top galleries from several countries,"['china', 'new', 'time']","https://www.chinadaily.com.cn/a/202306/09/WS64827f28a31033ad3f7bb576.html
",2023-06-09 09:55
0.18569533817705186,US country musician connects western China and Oklahoma,"['china', 'time']","https://www.chinadaily.com.cn/a/202306/10/WS6483b833a31033ad3f7bb7f5.html
",2023-06-10 08:11
0.1841149235796647,Global execs visit China to grab biz share,"['china', 'come', 'new', 'time']","https://epaper.chinadaily.com.cn/a/202306/09/WS64825023a3106e73106c450b.html
",2023-06-09 00:00
0.18257418583505536,China sees increase in water conservancy project investment in Jan-May,"['china', 'new']","https://www.chinadaily.com.cn/a/202306/10/WS6483dbd5a31033ad3f7bb83d.html
",2023-06-10 10:43
0.18190171877724973,Discount food boxes turn hot among young consumers,"['china', 'come', 'new']","https://www.chinadaily.com.cn/a/202306/09/WS648275cba31033ad3f7bb4b8.html
",2023-06-09 09:15
0.17677669529663687,"Setting global standards to tackle climate change, promote green development","['china', 'new']","https://www.chinadaily.com.cn/a/202306/10/WS6483d013a31033ad3f7bb834.html
",2023-06-10 09:53
0.17677669529663687,German MP Sevim Dagdelen  The USA is preparing for a war against China,['china'],"https://www.chinadaily.com.cn/a/202306/09/WS64828718a31033ad3f7bb5be.html
",2023-06-09 10:29
0.17437145811572893,Draft guidelines against cyberbullying seek public feedback,"['china', 'new', 'time']","https://www.chinadaily.com.cn/a/202306/09/WS64833011a31033ad3f7bb764.html
",2023-06-09 22:30
0.17407765595569785,China secures 2nd win in AFC U-20 Women's Asian Cup qualification,"['china', 'time']","https://www.chinadaily.com.cn/a/202306/09/WS64827438a31033ad3f7bb4a9.html
",2023-06-09 09:08
0.1720618004029213,China's ambassador Zheng Zeguang   De-risking  will create real risks,"['china', 'new', 'time']","https://www.chinadaily.com.cn/a/202306/10/WS6483596fa31033ad3f7bb77b.html
",2023-06-10 01:26
0.1720618004029213,Chinese curator asks visitors to understand meaning of care,"['china', 'new', 'time']","https://www.chinadaily.com.cn/a/202306/10/WS6483dd37a31033ad3f7bb86d.html
",2023-06-10 10:49
